"Zaman damgası","Cinsiyetiniz","Yaşınız","Medeni Haliniz","Eğitim Durumunuz","Düzenli Bir İşte Çalışıyor Musunuz? ","Kalabalık önünde konuşmaktan utanırım.","Başkalarının yaptıkları yanlışları görünce onlara yaptıklarının yanlış olduğunu söylemekten utanırım.","İnsanlara onlara karşı olan duygularımı söylemekten utanırım.","Bana ait olan eşyaları başkasına ödünç verdiğimde geri istemeye utanırım. ","Toplum içinde başkası tarafından övülmekten utanırım.","Alakam olmasa dahi bir başkasının yaptığı hareketlerden utanırım.","Anlatılan şeyleri anlamadığım zaman tekrar etmelerini istemeye utanırım.",""
"2021/03/25 10:49:46 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","3","2","3","3","1","1","2","1"
"2021/03/25 10:49:50 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","2","2","2","3","2","2","1"
"2021/03/25 10:50:03 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","3","1","3","3","1","4","1","3"
"2021/03/25 10:50:27 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","3","2","3","4","3","2","2","1"
"2021/03/25 10:50:38 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","3","1","1","1","4","1","1"
"2021/03/25 10:50:52 ÖS GMT+3","Erkek","45+","Evli","Lise","Evet","4","4","4","2","4","3","3","3"
"2021/03/25 10:51:06 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Hayır","2","1","1","1","2","2","2","2"
"2021/03/25 10:52:18 ÖS GMT+3","Kadın","25-34","Evli","Lise","Hayır","2","2","1","4","4","4","4","1"
"2021/03/25 10:52:36 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Evet","2","4","3","4","4","4","4","1"
"2021/03/25 10:53:13 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","4","3","2","4","2","2","1","1"
"2021/03/25 10:53:46 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","3","3","2","3","4","1","1"
"2021/03/25 10:53:50 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","2","3","2","3","1","2","1"
"2021/03/25 10:53:53 ÖS GMT+3","Erkek","35-44","Evli","Üniversite","Evet","1","2","2","4","3","1","1","1"
"2021/03/25 10:54:38 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","1","2","3","3","3","3","1"
"2021/03/25 10:55:34 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","3","1","4","4","4","4","3","1"
"2021/03/25 10:55:37 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Evet","1","1","1","2","1","3","1","1"
"2021/03/25 10:55:44 ÖS GMT+3","Kadın","25-34","Evli","Üniversite","Evet","2","3","4","4","2","3","3","1"
"2021/03/25 10:56:01 ÖS GMT+3","Erkek","35-44","Bekar","Üniversite","Evet","1","2","1","2","2","2","1","1"
"2021/03/25 10:57:26 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","4","2","2","3","3","4","1","2"
"2021/03/25 10:58:11 ÖS GMT+3","Kadın","25-34","Bekar","Lise","Hayır","3","1","3","3","3","3","2","1"
"2021/03/25 10:58:20 ÖS GMT+3","Erkek","25-34","Evli","Yüksek Lisans","Evet","4","4","4","4","4","4","4","4"
"2021/03/25 10:58:26 ÖS GMT+3","Kadın","35-44","Bekar","Üniversite","Evet","1","1","1","2","4","2","1","1"
"2021/03/25 10:59:18 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Evet","2","1","2","4","4","1","1","1"
"2021/03/25 10:59:55 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Hayır","1","2","2","2","1","3","2","1"
"2021/03/25 11:00:25 ÖS GMT+3","Kadın","25-34","Evli","Üniversite","Evet","2","3","3","3","2","2","2","1"
"2021/03/25 11:00:35 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Evet","1","1","2","2","3","2","1","2"
"2021/03/25 11:00:36 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Evet","2","1","1","2","3","2","1","1"
"2021/03/25 11:00:48 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Hayır","3","2","1","1","3","2","3","2"
"2021/03/25 11:00:59 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","2","2","3","2","4","1","1"
"2021/03/25 11:01:38 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","2","1","3","2","1","4","2","1"
"2021/03/25 11:01:50 ÖS GMT+3","Kadın","35-44","Bekar","Yüksek Lisans","Evet","1","2","1","3","2","2","1","1"
"2021/03/25 11:02:13 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","3","3","1","4","1","4","1","1"
"2021/03/25 11:02:23 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Hayır","3","2","2","2","2","1","2","1"
"2021/03/25 11:02:26 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","4","3","2","4","3","3","3","1"
"2021/03/25 11:02:29 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","2","3","2","1","2","3","3","1"
"2021/03/25 11:02:33 ÖS GMT+3","Erkek","45+","Evli","Üniversite","Evet","1","1","1","4","2","1","1","1"
"2021/03/25 11:03:46 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","4","4","4","4","4","4","4","3"
"2021/03/25 11:05:00 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","1","3","3","3","1","2","1","1"
"2021/03/25 11:05:01 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","3","3","2","3","3","2","2","2"
"2021/03/25 11:05:35 ÖS GMT+3","Erkek","25-34","Bekar","Üniversite","Hayır","2","2","3","3","1","3","2","1"
"2021/03/25 11:05:38 ÖS GMT+3","Kadın","18-24","Bekar","Üniversite","Hayır","1","1","1","1","1","1","1","1"
"2021/03/25 11:05:43 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Evet","3","3","3","3","3","4","4","4"
"2021/03/25 11:06:21 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","1","2","2","4","3","3","1","1"
"2021/03/25 11:07:11 ÖS GMT+3","Erkek","18-24","Bekar","Lise","Hayır","1","1","1","1","1","1","1","1"
"2021/03/25 11:07:22 ÖS GMT+3","Kadın","25-34","Evli","Üniversite","Evet","3","2","1","4","1","2","1","2"
"2021/03/25 11:08:24 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","1","1","1","2","2","2","1","1"
"2021/03/25 11:09:11 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","4","2","4","4","2","1","2"
"2021/03/25 11:09:46 ÖS GMT+3","Erkek","25-34","Bekar","Lise","Evet","2","2","2","1","2","2","1","2"
"2021/03/25 11:09:57 ÖS GMT+3","Kadın","25-34","Bekar","Üniversite","Evet","3","3","2","2","2","2","3","1"
"2021/03/25 11:13:51 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","1","1","3","2","1","2","1"
"2021/03/25 11:14:40 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Hayır","2","1","2","2","2","1","1","1"
"2021/03/25 11:15:19 ÖS GMT+3","Kadın","18-24","Bekar","Lise","Evet","1","3","2","1","1","2","3","1"
"2021/03/25 11:15:22 ÖS GMT+3","Kadın","25-34","Evli","Üniversite","Evet","2","2","2","2","2","2","1","1"
"2021/03/25 11:17:08 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Evet","2","1","3","3","4","3","2","1"
"2021/03/25 11:17:28 ÖS GMT+3","Kadın","45+","Evli","İlkokul","Hayır","2","1","3","3","1","2","2","2"
"2021/03/25 11:17:44 ÖS GMT+3","Kadın","25-34","Evli","İlkokul","Hayır","1","2","1","3","3","4","1","1"
"2021/03/25 11:17:44 ÖS GMT+3","Erkek","18-24","Bekar","Üniversite","Hayır","3","1","2","1","2","1","2","1"
"2021/03/25 11:18:59 ÖS GMT+3","Erkek","45+","Evli","Üniversite","Evet","3","3","4","3","2","3","4","1"
"2021/03/25 11:19:35 ÖS GMT+3","Kadın","35-44","Evli","Üniversite","Evet","2","2","2","2","2","2","2","1"
"2021/03/25 11:20:32 ÖS GMT+3","Kadın","45+","Evli","İlkokul","Hayır","4","3","4","3","4","3","4","3"
"2021/03/25 11:21:30 ÖS GMT+3","Kadın","25-34","Evli","Üniversite","Evet","2","2","2","1","1","2","2","1"
